song_title,album,year,singer,lyricist,composer,imdb_id
hame.n yaad kabhii tum kar lenaa,Anokhaa Daan,1972,Lata,Yogesh,Salil Chowdhury,
"musaafir huu.N yaaro.n, naa ghar hai naa Thikaana",Parichay,1972,Kishore,Gulzar,R D Burman,tt0216067
ye raakhii ba.ndhan hai aisaa,Beimaan,1972,"Mukesh, Lata",Varma Malik,Shankar-Jaikishan,tt0149814
ek naa ek din ye kahaanii banegii,Goraa Aur Kaalaa,1972,Rafi,Anand Bakshi,Shankar-Jaikishan,
ye zulf kaisii hai za.njiir jaisii hai,Piyaa Ka Ghar,1972,"Rafi, Lata",Anand Bakshi,Laxmikant-Pyarelal,
yaarii ho ga_ii yaar se,Do Chor,1972,Lata,Majrooh,R D Burman,tt0284056
prabhuu jii mere avagun chit naa dharo,Kangan,1972,"Ashok Kumar, Chorus",Indeevar,Kalyanji-Anandji,tt0373959
raato.n ke saaye ghane jab bojh dil par bane,Annadata,1972,Lata,Yogesh,Salil Choudhary,tt0068215
ye javaanii hai diivaanii,Jawani Diwani,1972,Kishore,Anand Bakshi,R D Burman,tt0155775
"tum kitanii khuubasuurat ho, ye mere dil se puuchho",Jungle Mein Mangal,1972,Kishore,"Hasrat, Neeraj",Shankar-Jaikishan,
pyaar ko chaahi_e kyaa ek nazar,Ek Nazar,1972,Kishor,Majrooh,Laxmikant-Pyarelal,tt0068532
nafarat se jinhe.n tum ... zamaane kii aa.Nkho.n ne,Ek Baar Muskuraa Do,1972,Rafi,S H Bihari,O P Nayyar,
chehare se zaraa aa.Nchal jab aapane sarakaayaa,Ek Baar Muskuraa Do,1972,"Mukesh, Asha",S H Bihari,O P Nayyar,
tere vishaal hR^iday ne paa_ii saato.n saagar kii gaharaa_ii,Maanavtaa,1972,Kishor,Indeevar,Kalyanji-Anandji,
jab tum ho mere hamasafar Kuubasuurat,Aanbaan,1972,Rafi,Hasrat,Shankar-Jaikishan,
nain hamaare saa.Njh sakaare dekhe.n laakho.n sapane,Annadata,1972,Mukesh,Yogesh,Salil Chowdhury,tt0068215
o ba.De bevafaa hai.n ye husn vaale,Roop Teraa Mastaanaa,1972,Rafi,Asad Bhopali,Laxmikant-Pyarelal,
hamaare sivaa tumhaare aur kitane diivaane hai.n,Aparaadh,1972,"Kishor, Lata",Indeevar,Kalyanji-Anandji,
he tuu naa milii to ham jogii ban jaa_e.Nge,Victoria No. 203,1972,Kishor,Indeevar,Kalyanji-Anandji,tt0158331
raaste kaa patthar qismat ne mujhe banaa diyaa,Raaste Ka Patthar,1972,Mukesh,Anand Bakshi,Laxmikant-Pyarelal,
o tushimaa rii tushimaa aaj jaane kis kaaraN,Yeh Gulistaan Hamaaraa,1972,Lata,Anand Bakshi,S D Burman,
do qadam tum bhii chalo do qadam ham bhii chale.n,Ek Haseena Do Deewaane,1972,"Mukesh, Lata",Qafil Azar,Kalyanji-Anandji,
saamane ye kaun aayaa dil me.n huii halachal,Jawani Diwani,1972,Kishore,Anand Bakshi,R D Burman,tt0155775
aaj bhii suuraj Duub gayaa hai,Naag Mani,1972,Noorjehan,Fayyaz Hashmi,Nisar Bazmi,
pag laage daasii daras kii pyaasii,Naag Mani (Pakistan),1972,"Noorjehan, Chorus",Habib Jalib,Nisar Bazmi,
hamii.n kare.n ko_ii surat u.nhe.n bulaane kii,Ek Nazar,1972,Lata,Majrooh,Laxmikant-Pyarelal,tt0068532
"pattaa pattaa buuTaa buuTaa, haal hamaaraa jaane hai",Ek Nazar,1972,"Rafi, Lata",Mir Taqi Mir,Laxmikant-Pyarelal,tt0068532
mujh ko Gam\-e\-haalaat,Pakistani-film{Suhag),1972,Noorjehan,Masroor Anwar,Nashad,
raam prabhu aadhaar,Sant Tulsidas,1972,Bhimsen Joshi,Bhagwat Mishra,Ram Kadam,
"ye vahii giit hai, jisako maine, dha.Dakan me.n basaayaa hai",Man Jaiye,1972,Kishore,Naqsh Lyallpuri,Jaidev,tt0230479
bolo be_iimaan kii jay ... naa izzat kii chintaa,Beimaan,1972,Mukesh,Verma Malik,Shankar-Jaikishan,tt0149814
aa.Nkho.n\-aa.Nkho.n me.n baat hone do,Aankhon Aankhon Mein,1972,"Kishor, Asha",Hasrat,Shankar-Jaikishan,tt0229949
kar bhalaa hogaa bhalaa ant bhale kaa bhalaa,Taangewaalaa,1972,Mukesh,Majrooh,Naushad,
nahii.n nahii.n abhii nahii.n abhii karo intazaar,Jawani Diwani,1972,"Kishore, Asha",Anand Bakshi,R D Burman,tt0155775
terii\-merii merii\-terii nazar la.D ga_ii,Subah-O-Shaam,1972,"Kishor, Asha",Anand Bakshi,Laxmikant-Pyarelal,
jiine kaa din mar jaane kaa mausam,Gomti Ke Kinaare,1972,"Lata, Kishore",Majrooh,R D Burman,
mai.n to chalaa jidhar chale rastaa,Dhadkan,1972,Kishor,"Ravi, Prem Dhawan",Ravi,
ik tum paas na aanaa duur\-duur hii rahanaa,Raaste Ka Patthar,1972,"Mukesh, Asha",Anand Bakshi,Laxmikant-Pyarelal,
baaGo.n me.n bahaar aaii  ho.nTho.n pe pukaar aaii,Mom Ki Gudiya,1972,"Lata, Anand Bakshi",Anand Bakshi,Laxmikant-Pyarelal,
agar saaz chhe.Daa taraane bane.nge,Jawani Diwani,1972,"Kishore, Asha",Anand Bakshi,R D Burman,tt0155775
dil ne pyaar kiyaa hai ik bevafaa se,Sharaarat,1972,Rafi,Hasrat,Ganesh,
ek do tiin chaar paa.Nch chhe aur saat,Sanjog,1972,Kishore,Anand Bakshi,R D Burman,tt0069218
achchhii nahii.n sanam dillagii dil-e-beqaraar se,Raakhee Aur Hathkadi,1972,"Kishore, Asha",Majrooh,R D Burman,
"ik pyaar kaa naGamaa hai, maujo.n kii ravaanii hai",Shor,1972,"Lata, Mukesh",Santosh Anand,Laxmikant-Pyarelal,tt0234724
"ek pyaar kaa naGamaa hai, maujo.n kii ravaanii hai",Shor,1972,"Mukesh, Lata",Majrooh,Laxmikant-Pyarelal,tt0234724
jaane mujhe tuune yah kyaa chiiz pilaa dii,Nainaa,1973,"Kishor, Sharda",Indeevar,Shankar-Jaikishan,
qasame.n ham apanii jaan kii khaae chale gae,Mere Gharib Nawaz,1973,Anwar,Mehboob Sarwar,Kamal Rajasthani,
tumhaarii beruKii se pareshaa.N hai.n nazaare,Yauwan,1973,Kishore,Omkar Verma,Sonik-Omi,
chandaa maamaa bole ... tuu so jaa re,Badaa Kabutar,1973,Asha,Yogesh,R D Burman,
mere ghar aap aaye ... ek tuu hai piyaa jis pe dil aa gayaa,Praan Jaaye Par Vachan Na Jaaye,1973,Asha,S H Bihari,O P Nayyar,
"ye dil aur unakii, nigaaho.n ke saaye",Prem Parbat,1973,Lata,Jaan Nisar Akhtar,Jaidev,tt0379445
ye samajho aur samajhaa_o ... daal\-roTii khaa_o,Jwaar Bhaataa,1973,"Kishor, Lata",Rajindra Krishan,Laxmikant-Pyarelal,
"nainaa hai.n pyaase mere, pyaasaa hai praaN meraa",Aavishkaar,1973,Asha,Kapil Kumar,Kanu Roy,
samajhautaa Gamo.n se kar lo,Samjhautaa,1973,Kishor,Indeevar,Kalyanji-Anandji,
idhar intazaar udhar intazaar tuu bhii beqaraar,Intezaar,1973,Mukesh,Verma Malik,Chitragupt,
Maa.n ko pukaar kar ... mere laal,Aavishkaar,1973,Manna Dey,Gyan Dev Agnihotri,Kanu Roy,
bikaaner kii chunarii o.Dhii,Praan Jaaye Par Vachan Na Jaaye,1973,Asha,S H Bihari,O P Nayyar,
haay aa ke dard jawaa.N hai,Praan Jaaye Par Vachan Na Jaaye,1973,Asha,Ahmad Warasi,O P Nayyar,
"chain se hamako kabhii, aapane jiine naa diyaa",Praan Jaaye Par Vachan Na Jaaye,1973,Asha,S H Bihari,O P Nayyar,
har hasii.n chiiz kaa mai.n talab_gaar huu.N,Saudagar,1973,Kishore,Ravindra Jain,Ravindra Jain,tt0070637
luuTe koii man kaa nagar ban ke meraa saathii,Abhimaan,1973,"Manhar, Lata",Rajinder Krishan,S D Burman,tt0069671
lekar ham diiwaanaa dil,Yaadon Ki Baaraat,1973,"Kishore, Asha",Majrooh,R D Burman,tt0070935
ye niir kahaa.N se barase hai,Prem Parbat,1973,Lata,Padma Sachdev,Jaidev,tt0379445
yaado.n kii baaraat nikalii hai,Yaadon Ki Baaraat,1973,"Kishore, Rafi/ Lata, Padmini, Shivangi, Chorus",Majrooh,R D Burman,tt0070935
"chal chale.n ai dil chale.n chal, jhiil ke us paar",Jheel Ke Us Paar,1973,Lata,Anand Bakshi,R D Burman,tt0070241
gorii gorii gaa.Nv kii gorii re,Ye Gulistaan Hamara,1973,"Kishore, Lata",Anand Bakshi,S D Burman,
yaarii hai iimaan meraa yaar merii zi.ndagii,Zanjeer,1973,Manna De,Gulshan Bawra,Kalyanji-Anandji,tt0070947
haay taubaa\-taubaa ye javaanii ... ye maanaa merii jaa.N,Hanste Zakhm,1973,"Rafi, Balbeer",Kaifi Azmi,Madan Mohan,tt0154563
mai.n tujhase milane aa_ii ma.ndir jaane ke bahaane,Heeraa,1973,"Rafi, Lata",Indeevar,Kalyanji-Anandji,
sabake rahate lagataa hai aise ko_ii nahii.n hai meraa,Samjhautaa,1973,Rafi,Indeevar,Kalyanji-Anandji,
uupar jaa ke yaad aa_ii.n niiche kii baate.n,Paanch Dushman,1973,Kishor,Majrooh,R D Burman,tt0430441
gho.Dii pe ho ke savaar chalaa hai duulhaa yaar,Gulaam Begum Baadshaah,1973,Rafi,Rajindra Krishan,Kalyanji-Anandji,
"har taraf ab yahii afasaane hai.n, ham terii aa.Nkho.n ke",Hindustan Ki Qasam,1973,Manna De,Kaifi Azmi,Madan Mohan,
cha.ndaa ki kiraNo.n se lipaTii havaa_e.N,Intezaar,1973,Kishor,Verma Malik,Chitragupt,
"barakhaa raanii, zaraa jam_ke baraso / barakhaa bairan, zaraa tham_ke",Sabak,1973,Mukesh / Suman Kalyanpur,Saawan Kumar,Usha Khanna,
"tere mere milan kii ye rainaa, nayaa koii gul khilaayegii",Abhimaan,1973,"Kishore, Lata",Majrooh,S D Burman,tt0069671
duur hai kinaaraa gaharii nadii kii dhaaraa,Saudaagar,1973,Manna Dey,Ravindra Jain,Ravindra Jain,
kyaa jaano mai.n huu.N kaun ... dekho ye mere ba.Ndhe haath,Bandhe Haath,1973,Kishor,Majrooh,R D Burman,tt0069751
pyaar ke is khel me.n,Jugnu,1973,Kishore,Anand Bakshi,S D Burman,tt0070253
yahaa.n nahii.n kahuu.ngii,Mr. Romeo,1973,"Asha, Kishore",Anand Bakshi,R D Burman,tt0422775
vaastaa hii naa jab rahaa tumase,Chori Chori,1973,Mukesh,Gulshan Bawra,Shankar-Jaikishan,tt1996213
tan\-man tere ra.ng\-ra.nguu.Ngii,Archanaa,1973,Lata,Neeraj,Shankar-Jaikishan,
ham ko to jaan se pyaarii hai.n tumhaarii aa.Nkhe.n,Naina,1973,Rafi,Hasrat,Shankar-Jaikishan,tt0246800
tore jaisii chhorii hotii ko_ii gaa.Nv maa.n hamaare,Chori Chori,1973,Mukesh,Gulshan Bawra,Shankar-Jaikishan,tt1996213
raat piyaa ke sa.ng jaagii re sakhii,Prem Parbat,1973,Minoo Purshottam,Jaan Nisar Akhtar,Jaidev,tt0379445
he ho gorii o gorii prem kar le,Gaai Aur Gori,1973,Kishor,Anand Bakshi,Laxmikant-Pyarelal,tt0276150
raat taaro.n se jab sa.Nwaratii hai,(Non-film),1973,Talat Mahmood,Shaukat Pardesi,Murli Manohar Swarup,
ham aur tum tum aur ham Kush hai.n yuu.N aaj,Daagh,1973,"Kishor, Asha",Sahir,Laxmikant-Pyarelal,
Kizaa.N ke daur me.n aise bhii kuch maqaam aae,(Non-Film),1973,Talat Mahmood,Raaz Illahabadi,Murli Manohar Swaroop,
"dil kaa nazaraanaa le, o diladaar le",Chalaak,1973,"Asha, Kishore",Hasrat,Ganesh,tt1225875
haay bichhuaa Das gayo re,Jheel Ke Us Paar,1973,Asha,Anand Bakshi,R D Burman,tt0070241
kyaa nazaare kyaa sitaare,Jheel Ke Us Paar,1973,Kishore,Anand Bakshi,R D Burman,tt0070241
ek pahelii hai tuu haa.N naar navelii hai tuu,Heeraa Pannaa,1973,"Kishore, Asha",Anand Bakshi,R D Burman,
ab to hai tumase har Khushii apanii,Abhimaan,1973,Lata,Majrooh,S D Burman,tt0069671
aapake kamare me.n ko_ii rahataa hai,Yaadon Ki Baaraat,1973,"Kishore, Asha, R D Burman",Majrooh,R D Burman,tt0070935
ye jab se huii jiyaa kii chorii,Us Paar,1974,Lata,Yogesh,S D Burman,
kisakaa mahal hai kisakaa ye ghar hai,Prem Nagar,1974,"Kishor, Lata",Anand Bakshi,S D Burman,tt0072026
ka_ii baar yuu.N hii dekhaa hai,Rajnigandha,1974,Mukesh,Yogesh,Salil Choudhary,tt0072064
ye silasilaa pyaar se chalaa,Zahreela Insaan,1974,Asha,Majrooh,R D Burman,
ye kaisaa sur mandir hai,Prem Nagar,1974,Lata,Anand Bakshi,S D Burman,tt0072026
tere\-mere pyaar kii ba.Ndh ga_ii jab ye Dor,Paap Aur Punya,1974,"Mukesh, Kanchan",Vishveshvar Sharma,Kalyanji-Anandji,
tumane piyaa diyaa sab kuchh,Us Paar,1974,Lata,Yogesh,S D Burman,
ye dilanashii.n nazaare karate hai.n kyaa ishaare,Pyaase Dil,1974,Mukesh,Jaan Nisar Akhtar,Khaiyyam,
rajaniiga.ndhaa phuul tumhaare mahake yuu.N hii jiivan me.n,Rajnigandha,1974,Lata,Yogesh,Salil Choudhary,tt0072064
har tan me.n kavi ... kavi re o kavi re,Parinay,1974,Rajendra Mehta,Jan Nisar Akhtar,Jaidev,tt0266832
apanii aa.Nkho.n me.n basaakar koii iqaraar karuu.N,Thokar,1974,Rafi,Saajan Dehlavi,Shamji Ghanshamji,tt0369018
dil kaa guladastaa baa.Nho.n kaa haar,Vachan,1974,"Kishor, Sharda",Shaily Shailendra,Shankar-Jaikishan,tt1314279
aayaa hai tere dar pe savaalii,Daastaan-E-Lailaa Majnu,1974,Rafi,Jaan Nisar Akhtar,Iqbal Qureshi,
khaalii ghar kii diivaaro.n pe ... jaa jaa jaa mujhe naa,Prem Nagar,1974,Kishor,Anand Bakshi,S D Burman,tt0072026
bahanaa ne bhaaii kii kalaaii se pyaar baa.Ndhaa hai,Resham Ki Dori,1974,Suman Kalyanpur,Shailendra,Shankar-Jaikishan,tt0155106
haay haay ye majabuurii ye mausam aur ye duurii,Roti Kapada Aur Makaan,1974,Lata,Verma Malik,Laxmikant-Pyarelal,tt0072100
baar baar meraa pyaar mujhe puuchh rahaa diladaar,Albeli,1974,"Mukesh, Nazima",Jaan Nisaar Akhtar,Kalyanji-Anandji,
tuu jahaa.N mile mujhe,Doosri Sita,1974,Asha/Nitin Mukesh,Gulzar,R D Burman,tt0357610
uupar vaalaa dukhiyo.n kii naahii.n sunataa re,Saginaa,1974,"Kishor, Dilip Kumar",Majrooh,S D Burman,
ai baabuu ye ##public## hai ... sab jaanatii hai,Roti,1974,Kishore,Anand Bakshi,Laxmikant-Pyarelal,tt0176105
mujhe nahii.n puuchhanii tumase biitii baate.n,Anjaan Raahen,1974,Mukesh,Indeevar,Kalyanji-Anandji,tt0208686
mai.n Dhuu.NDhataa huu.N jinako raato.n ko khayaalo.n me.n,Thokar,1974,Mukesh,Saajan Dehlavi,Shamji Ghanshamji,tt0369018
yaar hamaarii baat suno aisaa ik insaan chuno,Roti,1974,Kishor,Anand Bakshi,Laxmikant-Pyarelal,tt0176105
mere dil se ye nain mile rahane do jaan\-e\-man,Zehreelaa Insaan,1974,"Asha, Shailendra Singh",Majrooh,R D Burman,
"meh.ngaaii maar gaii, meh.ngaaii maar gaii",Roti Kapada Aur Makaan,1974,"Mukesh, Lata, Chanchal, Jani Babu Qawwal",Varma Malik,Laxmikant-Pyarelal,tt0072100
apane dil me.n jagah diiji_e,Hawas,1974,Asha,Saawan Kumar,Usha Khanna,tt0304147
hazaar baate.n kahe zamaanaa merii vafaa pe yaqiin,Ghatanaa/ The Incident of Life,1974,Lata,Ravi,Ravi,
jhuum baraabar jhuum sharaabi,5 Rifles,1974,Aziz Nazan,Naza Sholapuri,Aziz Nazan,tt0231592
kisii se dostii kar lo,Dil Deewana,1974,"Asha, Kishore",Anand Bakshi,R D Burman,
"mai.n huu.N gho.Daa, ye hai gaa.Dii, merii rik_shaa sab se niraalii",Kunvaaraa Baap,1974,"Kishore, Mahmood, chorus",Majrooh,Rajesh Roshan,
##bye bye miss good night## kal phir mile.nge,Prem Nagar,1974,"Kishore, Chorus",Anand Bakshi,S D Burman,tt0072026
pyaase do badan pyaasii raat me.n,Prem Nagar,1974,Asha,Anand Bakshi,S D Burman,tt0072026
pyaas thii phir bhii taqaazaa na kiyaa,Aalingan/ The Embrace,1974,Manna Dey,Jan Nisar Akhtar,Jaidev,
terii jhiil-sii gaharii aa.Nkho.n me.n,Dhuen Ki Lakeer,1974,"Nitin Mukesh, Vani Jairam",Rameshwar Tyagi,Shyamji Ghanshyamji,
ek dam ... chillam kaa ek dam,Aalingan,1974,"Asha, Chorus",Jan Nisar Akhtar,Jaidev,
tum mahakatii javaa.N chaa.Ndanii ho,Pyaase Dil,1974,Mukesh,Jaan Nisar Akhtar,Khaiyyam,
pukaaratii hai mohabbat qariib aa jaa_o,Daastaan-E-Lailaa Majnu,1974,"Rafi, Suman",Jaan Nisar Akhtar,Iqbal Qureshi,
qasam khaao tum ik baar,Madhosh,1974,"Asha, Kishore",Majrooh,R D Burman,tt0122162
tuu hii saagar hai tuu hii kinaaraa,Sankalp,1974,"Sulakshana Pandit, Vinod Sharma / Sulakshana Pandit",Kaifi Azmi,Khaiyyaam,tt0246910
terii merii yaarii ba.Dii puraanii,Charitraheen,1974,Asha,Anand Bakshi,R D Burman,tt0268217
ek Daal par totaa bole ek Daal par mainaa,Chor Machaaye Shor,1974,"Rafi, Lata",Indrajeet Singh Tulsi,Ravindra Jain,
yaaraa o yaaraa... mai.n benaam ho gayaa,Benaam,1974,Narendra Chanchal,Majrooh,R D Burman,tt0071205
chorii chorii solah si.ngaar karuu.Ngii,Manoranjan,1974,Asha,Anand Bakshi,R D Burman,tt0071811
bhiitar\-bhiitar khaa_e chalo baahar shor,Sankalp/ Determination,1974,"Mukesh, Mahendra Kapoor",Kaifi Azmi,Khaiyyam,
ruk jaanaa nahii.n tuu kahii.n haar ke,Imtehaan,1974,Kishore,Majrooh,Laxmikant-Pyarelal,
gore ra.ng pe naa itanaa Gumaan kar,Roti,1974,"Kishor, Lata",Anand Bakshi,Laxmikant-Pyarelal,tt0176105
roz shaam aatii thii magar aisii na thii,Imtihaan,1974,Lata,Majrooh,Laxmikant Pyarelal,
yahaa.N bandhu aate ko hai jaanaa,Chhattees Ghante,1974,Mukesh,Sahir,Sapan Chakravarti,
sun niitaa mai.n tere pyaar ke giit,Dil Diwana,1974,Kishore,Anand Bakshi,R D Burman,tt0155668
jab se sarakaar ne nashaabandii to.D dii,Five Rifles/ 5 Rifles,1974,Kishore,Rajinder Krishan,Kalyanji-Anandji,tt0231592
"ham na rahe.nge tum naa rahoge, ye pyaar hamaaraa hameshaa rahegaa",Jaan Hazir Hai,1975,"Dilraj Kaur, Amit Kumar, Manhar",Shaili Shailendra,Jaykumar Parte,
yaad rahegaa pyaar kaa ye ra.ngiin zamaanaa,Umar Qaid,1975,"Mukesh, Lata",Gulshan Bawra,Sonik Omi,
ye din kyaa aa_e lage phuul ha.Nsane,Chhoti Si Baat,1975,Mukesh,Yogesh,Salil Chaudhary,tt0072777
"na jaane kyo.n, hotaa hai ye zi.ndagii ke saath",Chhoti Si Baat,1975,Lata,Yogesh,Salil Choudhary,tt0072777
"aaye tum yaad mujhe, gaane lagii har dha.Dakan",Mili,1975,Kishore,Yogesh,S D Burman,tt0073391
haa.N ishq meraa diiwaanaa ye diiwaanaa mastaanaa,Shirin Farhad (Pakistani-Film),1975,"Mehdi Hasan, Female Voice, Chorus",Qateel Shifai,Khurshid Anwar,
Takaraa gaye do baadal ambar pe,Mazaaq,1975,"Asha, Vinod Mehra",Yogesh,R D Burman,
ghar jaayegii tar jaayegii Doliyaa.N cha.Dh jaayegii,Khushboo,1975,Asha,Gulzar,R D Burman,tt0215900
Gam kii davaa to pyaar hai,Amaanush,1975,Asha,Indeevar,Shyamal Mitra,
ye kaun ha.Nsaa are kaun ha.Nsaa,Mere Sajna,1975,Lata,Majrooh,Laxmikant-Pyarelal,
tumane kisii se kabhii pyaar kiyaa hai,Dharmaatmaa,1975,"Mukesh, Kanchan",Indivar,Kalyanji Anandji,
"##My heart is beating, keeps on repeating, I am waiting for you##",Julie,1975,Preeti Sagar,Harindranath Chattopadhyay,Rajesh Roshan,tt0187192
"ye dostii, ham nahii.n to.De.nge, to.De.nge dam magar",Shole,1975,"Kishore, Manna De",Anand Bakshi,R D Burman,
aaratii man maanatii ... salaam kiijiye aalii janaab aaye hai.n,Aandhi,1975,"Rafi, Bhupendra, Amit Kumar,  Chorus",Gulzar,R D Burman,tt0178186
kyaa khuub lagatii ho ba.Dii su.ndar dikhatii ho,Dharmaatmaa,1975,"Mukesh, Kanchan",Indivar,Kalyanji Anandji,
naa puuchho ko_ii hame.n zahar kyuu.N pii liyaa,Amaanush,1975,Kishor,Indivar,Shyamal Mitra,
kah duu.N tumhe.n yaa chup rahuu.N,Deewaar,1975,"Kishor, Asha",Sahir,R D Burman,tt0072860
"chal sanyaasii, ma.ndir me.n, teraa chimaTaa merii chuu.Diyaa.N",Sanyasi,1975,"Lata, Kishore",Vishveshvar Sharma,Shankar-Jaikishan,tt0073657
"sa.nsaar hai ik nadiyaa, sukh-dukh do kinaare hai.n",Raftaar,1975,"Mukesh, Asha",Abhilash,Sonik-Omi,tt0431350
ye raate.n na_ii puraanii aate aate\-jaate,Julee,1975,Lata,Anand Bakshi,Rajesh Roshan,
ai shahar ke logo sun lo ham pyaar se baaz na aaye.nge,Shirin Farhad (Pakistani-Film),1975,Mehdi Hasan,Qateel Shifai,Khurshid Anwar,
ek hasarat thii ki aa.Nchal kaa mujhe pyaar mile,Zindagi Aur Toofaan,1975,Mukesh,Ram Avtar Tyagi,Laxmikant-Pyarelal,
chha.Dii re chha.Dii kaisii gale me.n pa.Dii,Mausam,1975,"Rafi, Lata",Gulzar,Madan Mohan,tt0151511
do naino.n me.n aa.Nsuu bhare hai.n,Khushboo,1975,Lata,Gulzar,R D Burman,tt0215900
"o maa.njhii re, apanaa kinaaraa, nadiyaa kii dhaaraa hai",Khushboo,1975,Kishore,Gulzar,R D Burman,tt0215900
mere ishq me.n laakho.n laTake,Mausam,1975,Asha,Gulzar,Madan Mohan,tt0151511
"bechaaraa dil kyaa kare, saavan jale bhaado.n jale",Khushboo,1975,Asha,Gulzar,R D Burman,tt0215900
ye to zindagii hai kabhii Kushii hai kabhii Gam,Qaid,1975,"Kishor, Nitin",Maya Govind,Nitin Mangesh,tt0155079
baaGo.n me.n kaise ye phuul khilate hai.n,Chupke Chupke,1975,"Lata, Mukesh",Anand Bakshi,S D Burman,tt0072783
ye mausam aayaa hai kitane saalo.n me.n,Aakraman,1975,"Kishore, Lata",Anand Bakshi,Laxmikant Pyarelal,tt0178180
mere dil me.n terii tasaviir sadaa rahatii hai,Ek Hans Ka Jodaa,1975,Asha,Indeevar,Jaidev,
apanaa desh videsh ke aage haath na phailaa_e,Anokhaa,1975,Mukesh,Indeevar,Kalyanji-Anandji,
mai.n pyaasaa tum saavan,Faraar,1975,"Kishor, Lata",Rajinder Krishan,Kalyanji-Anandji,tt0072972
"mai.n vahii darpaN vahii, naa jaane ye kyaa ho gayaa",Geet Gata Chal,1975,Arti Mukherji,Ravindra Jain,Ravindra Jain,
diiwaaro.n kaa ja.ngal jisakaa aabaadii hai naam,Deewaar,1975,Manna Dey,Sahir,R D Burman,tt0072860
maine tujhe maa.Ngaa tujhe paayaa hai,Deewaar,1975,"Kishor, Asha",Sahir,R D Burman,tt0072860
##i'm falling in love with a stranger##,Deewaar,1975,Ursula,R D Burman,R D Burman,tt0072860
piyaa baaj pyaalaa piyaa jaae naa,Nishant,1975,Preeti Sagar,Quli Qutub Shah,Vanraj Bhatia,tt0073458
aaye lo pyaar ke din aaye,Khel Khel Mein,1975,"Kishore, Asha",Gulshan Bawra,R D Burman,tt0073236
shiirii.n shiirii.n shiirii.n jaan\-e\-farahaad,Shirin Farhad (Pakistani-Film),1975,"Mehdi Hasan, Irene Parveen, Chorus",Qateel Shifai,Khurshid Anwar,
kirano.n ke jhuulo.n se ... chalii aa,Shirin Farhad (Pakistani-Film),1975,"Mehdi Hasan, Irene Parveen, Chorus",Qateel Shifai,Khurshid Anwar,
huu.N jalataa hai jiyaa meraa bhiigii\-bhiigii raato.n me.n,Zakhmee,1975,"Kishor, Asha",Gauhar Kanpuri,Bappi Lahiri,tt0073923
chalo bhuul jaaye.n jahaa.N ko,Do Jhoot,1975,"Kishore, Lata",Vitthal Bhai Patel,Shankar-Jaikishan,tt0370468
balamaa moraa aa.Ncharaa mahake re,Sangat,1975,"Lata, Manna Dey",Jan Nisar Akhtar,Salil Chowdhury,tt0157001
chhatarii na khol u.D jaayegii,Do Jhoot,1975,"Kishore, Lata",M G Hashmat,Shankar-Jaikishan,tt0370468
baalii umariyaa bhajan karuu.N kaise,Sanyasi,1975,"Lata, Mukesh",Vitthal Bhai Patel,Shankar-Jaikishan,tt0073657
"kaanhaa bole naa, kaanhaa bole naa",Sangat,1975,"Lata, Manna De",Jaan Nisar Akhtar,Salil Choudhary,tt0157001
tere hamasafar giit hai.n tere,Dharam Karam/ Duty and Deed,1975,"Mukesh, Kishore, Asha",Majrooh,R D Burman,
saaGar nahii.n hai to kyaa hai,Naatak,1975,Rafi,Anand Bakshi,Laxmikant-Pyarelal,tt0359738
ga.ngaa me.n Duubaa na jamanaa me.n Duubaa,Apne Rang Hazaar,1975,Lata,Anjaan,Laxmikant-Pyarelal,tt0297738
gorii teraa gaa.Nv ba.Daa pyaaraa,Chitchor,1976,Yesudas,Ravindra Jain,Ravindra Jain,tt0157460
aaj se pahale aaj se zyaadaa,Chitchor,1976,Yesudas,Ravindra Jain,Ravindra Jain,tt0157460
vaadiyo.n me.n kho jaa_e.n ham tum ... ye samaa.N hai suhaanaa,Aarambh,1976,"Mukesh, Aarti Mukherjee",Shakeel Ahmed,Anand Shankar,tt0178200
ek se ba.Dhakar ek,Ek Se Badhkar Ek,1976,Runa Laila,Verma Malik,Kalyanji Anandji,tt0157572
tere ishq kaa mujhape hu_aa ye asar hai,Naagin,1976,"Rafi, Asha",Verma Malik,Laxmikant-Pyarelal,tt3010362
"jab diip jale aanaa, jab shaam Dhale aanaa",Chitchor,1976,"Yesudas, Hemlata",Ravindra Jain,Ravindra Jain,tt0157460
"tuu jo mere sur me.n, sur milaa le",Chitchor,1976,"Yesudas, Hemlata",Ravindra Jain,Ravindra Jain,tt0157460
ye pal cha.nchal kho naa denaa,Kalicharan,1976,"Asha, Kishore",Ravindra Jain,Kalyanji-Anandji,tt0214832
samundar samundar yahaa.N se wahaa.N tak,Barood,1976,Lata,Anand Bakshi,S D Burman,tt0157358
are ... ko_ii maane yaa naa maane ... oy paise vasuul,Kabeelaa,1976,Kishore,Farooq Qaisar,Kalyanji-Anandji,
naGamaa hamaaraa gaayegaa ye zamaanaa,Bundal Baaz,1976,"Rafi, Lata",Majrooh,R D Burman,tt0231226
"chalate chalate, mere ye giit yaad rakhanaa",Chalte Chalte,1976,Kishore,Amit Khanna,Bappi Lahiri,tt0360463
kasam kyaa hotii hai ... jo to.Dii naa jaa_e bichho.Dii naa paa_e,Qasam,1976,"Asha, Nitin Mukesh",Indivar,Bappi Lahiri,tt0428820
